"TransactionID","ProductID","Quantity"
"TR026","PR025","12"
"TR026","PR037","7"
"TR027","PR014","7"
"TR027","PR028","3"
"TR027","PR038","20"
"TR027","PR039","12"
"TR028","PR013","12"
"TR028","PR021","7"
"TR028","PR024","3"
"TR028","PR042","20"
"TR029","PR014","20"
"TR029","PR028","3"
"TR029","PR038","7"
"TR029","PR039","12"
"TR030","PR005","7"
"TR030","PR011","20"
"TR030","PR016","3"
"TR030","PR022","12"
"TR031","PR003","12"
"TR031","PR007","7"
"TR031","PR037","3"
"TR031","PR039","20"
"TR032","PR019","7"
"TR032","PR022","3"
"TR032","PR038","12"
"TR032","PR040","20"
"TR033","PR002","3"
"TR033","PR008","20"
"TR033","PR025","12"
"TR033","PR037","7"
"TR034","PR014","7"
"TR034","PR028","3"
"TR034","PR038","20"
"TR034","PR039","12"
"TR035","PR013","12"
"TR035","PR021","7"
"TR035","PR024","3"
"TR035","PR042","20"
"TR036","PR014","20"
"TR036","PR028","3"
"TR036","PR038","7"
"TR036","PR039","12"
"TR037","PR005","7"
"TR037","PR011","20"
"TR037","PR016","3"
"TR037","PR022","12"
"TR038","PR003","12"
"TR038","PR007","7"
"TR038","PR037","3"
"TR038","PR039","20"
"TR039","PR019","7"
"TR039","PR022","3"
"TR039","PR038","12"
"TR039","PR040","20"
"TR040","PR002","3"
"TR040","PR008","20"
"TR040","PR025","12"
"TR040","PR037","7"
"TR041","PR014","7"
"TR041","PR028","3"
"TR041","PR038","20"
"TR041","PR039","12"
"TR042","PR013","12"
"TR042","PR021","7"
"TR042","PR024","3"
"TR042","PR042","20"
"TR043","PR014","20"
"TR043","PR028","3"
"TR043","PR038","7"
"TR043","PR039","12"
"TR044","PR005","7"
"TR044","PR011","20"
"TR044","PR016","3"
"TR044","PR022","12"
"TR045","PR003","12"
"TR045","PR007","7"
"TR045","PR037","3"
"TR045","PR039","20"
"TR046","PR019","7"
"TR046","PR022","3"
"TR046","PR038","12"
"TR046","PR040","20"
"TR047","PR002","3"
"TR047","PR008","20"
"TR047","PR025","12"
"TR047","PR037","7"
"TR048","PR014","7"
"TR048","PR028","3"
"TR048","PR038","20"
"TR048","PR039","12"
"TR049","PR013","12"
"TR049","PR021","7"
"TR049","PR024","3"
"TR049","PR042","20"
"TR050","PR014","20"
"TR050","PR028","3"
"TR050","PR038","7"
"TR050","PR039","12"
"TR051","PR005","7"
"TR051","PR011","20"
"TR051","PR016","3"
"TR051","PR022","12"
"TR052","PR003","12"
"TR052","PR007","7"
"TR052","PR037","3"
"TR052","PR039","20"
"TR053","PR019","7"
"TR053","PR022","3"
"TR053","PR038","12"
"TR053","PR040","20"
"TR054","PR002","3"
"TR054","PR008","20"
"TR054","PR025","12"
"TR054","PR037","7"
"TR055","PR014","7"
"TR055","PR028","3"
"TR055","PR038","20"
"TR055","PR039","12"
"TR056","PR013","12"
"TR056","PR021","7"
"TR056","PR024","3"
"TR056","PR042","20"
"TR057","PR014","20"
"TR057","PR028","3"
"TR057","PR038","7"
"TR057","PR039","12"
"TR058","PR005","7"
"TR058","PR011","20"
"TR058","PR016","3"
"TR058","PR022","12"
"TR059","PR003","12"
"TR059","PR007","7"
"TR059","PR037","3"
"TR059","PR039","20"
"TR060","PR019","7"
"TR060","PR022","3"
"TR060","PR038","12"
"TR060","PR040","20"
"TR061","PR002","3"
"TR061","PR008","20"
"TR061","PR025","12"
"TR061","PR037","7"
"TR062","PR014","7"
"TR062","PR028","3"
"TR062","PR038","20"
"TR062","PR039","12"
"TR063","PR013","12"
"TR063","PR021","7"
"TR063","PR024","3"
"TR063","PR042","20"
"TR064","PR014","20"
"TR064","PR028","3"
"TR064","PR038","7"
"TR064","PR039","12"
"TR065","PR005","7"
"TR065","PR011","20"
"TR065","PR016","3"
"TR065","PR022","12"
"TR066","PR003","12"
"TR066","PR007","7"
"TR066","PR037","3"
"TR066","PR039","20"
"TR067","PR019","7"
"TR067","PR022","3"
"TR067","PR038","12"
"TR067","PR040","20"
"TR068","PR002","3"
"TR068","PR008","20"
"TR068","PR025","12"
"TR068","PR037","7"
"TR069","PR014","7"
"TR069","PR028","3"
"TR069","PR038","20"
"TR069","PR039","12"
